Id,Site,Plot,Class,Order,Family,Genera,Species,Tree,Strata,Leaf,SPAD.average,Fresh.weight,Area,Dry.weight,LMA,LDMC,THICKNESS,LNC,LCC,N.C
244,MET,METOESTE,Dicots,Malvales,Tiliaceae,Luehea,Luehea seemannii,EEEE (223),0,6,23.075,0.907,0.005618,0.313,55.71377714,0.345093716,161.4453542,2.266,48.417,0.046801743
245,MET,METOESTE,Dicots,Malvales,Tiliaceae,Luehea,Luehea seemannii,EEEE (223),0,7,45.675,0.507,0.002942,0.177,60.16315432,0.349112426,172.3317471,2.266,48.417,0.046801743
246,MET,METOESTE,Dicots,Malvales,Tiliaceae,Luehea,Luehea seemannii,EEEE (223),0,8,46.875,0.898,0.005297,0.33,62.29941476,0.367483296,169.5299226,1.836,47.549,0.038612799
247,MET,METOESTE,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,FFFF (222),0,1,31.325,5.782,0.026222,1.502,57.28014644,0.259771705,220.5018687,2.976,43.627,0.068214638
248,MET,METOESTE,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,FFFF (222),0,2,33.15,5.382,0.020856,1.49,71.44227081,0.276848755,258.0552359,2.58,43.415,0.059426466
249,MET,METOESTE,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,FFFF (222),0,3,33.425,6.933,0.0295,1.823,61.79661017,0.262945334,235.0169492,2.804,43.416,0.064584485
250,MET,METOESTE,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,FFFF (222),0,6,33.825,4.674,0.029039,1.414,48.69313682,0.302524604,160.9559558,2.592,40.837,0.063471852
251,MET,METOESTE,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,FFFF (222),0,7,32.075,3.129,0.014769,0.879,59.51655495,0.280920422,211.8626854,2.458,41.188,0.059677576
252,MET,METOESTE,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,FFFF (222),0,8,34.775,4.297,0.024012,1.333,55.51390971,0.31021643,178.9521906,2.236,41.549,0.053815976
253,MET,METOESTE,Dicots,Piperales,Piperaceae,Piper,Piper reticulatum,GGGG (234),0,1,61.225,2.839,0.015826,0.984,62.1761658,0.346600916,179.3883483,3.102,40.652,0.076306209
254,MET,METOESTE,Dicots,Piperales,Piperaceae,Piper,Piper reticulatum,GGGG (234),0,2,64.275,4.255,0.021984,1.48,67.3216885,0.347826087,193.5498544,2.581,40.069,0.064413886
255,MET,METOESTE,Dicots,Piperales,Piperaceae,Piper,Piper reticulatum,GGGG (234),0,3,61.875,3.9,0.021408,1.189,55.53998505,0.304871795,182.1748879,3.086,44.751,0.068959353
256,MET,METOESTE,Dicots,Piperales,Piperaceae,Piper,Piper reticulatum,GGGG (234),0,6,49.4,1.63,0.00931,0.441,47.36842105,0.270552147,175.0805585,2.548,40.372,0.063113049
257,MET,METOESTE,Dicots,Piperales,Piperaceae,Piper,Piper reticulatum,GGGG (234),0,7,36.975,0.798,0.005704,0.171,29.97896213,0.214285714,139.9018233,NA,NA,NA
258,MET,METOESTE,Dicots,Piperales,Piperaceae,Piper,Piper reticulatum,GGGG (234),0,8,50.1,1.101,0.006392,0.312,48.81101377,0.283378747,172.2465582,2.422,39.897,0.060706319
259,MET,METOESTE,Dicots,Rosales,Moraceae,Ficus,Ficus insipida,HHHH (233),1,1,53.875,5.669,0.013326,1.499,112.4868678,0.264420533,425.4089749,3.179,45.575,0.069753154
260,MET,METOESTE,Dicots,Rosales,Moraceae,Ficus,Ficus insipida,HHHH (233),1,2,62.55,5.717,0.012864,1.603,124.6113184,0.280391814,444.4185323,2.871,42.073,0.068238538
261,MET,METOESTE,Dicots,Rosales,Moraceae,Ficus,Ficus insipida,HHHH (233),1,3,57.875,5.408,0.012902,1.327,102.852271,0.245377219,419.1598202,3.092,44.437,0.069581655
262,MET,METOESTE,Dicots,Rosales,Moraceae,Ficus,Ficus insipida,HHHH (233),0,6,55.225,3.883,0.009195,0.995,108.2109842,0.256245171,422.2947254,2.936,45.536,0.064476458
263,MET,METOESTE,Dicots,Rosales,Moraceae,Ficus,Ficus insipida,HHHH (233),0,7,48.15,2.627,0.006063,0.746,123.0413986,0.283974115,433.2838529,2.299,43.689,0.052621941
264,MET,METOESTE,Dicots,Rosales,Moraceae,Ficus,Ficus insipida,HHHH (233),0,8,50.6,2.434,0.005927,0.649,109.4989033,0.266639277,410.6630673,2.174,45.598,0.04767753
265,MET,METOESTE,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,IIII (284),0,1,30.975,6.785,0.022454,1.873,83.41498174,0.276050111,302.1733321,2.819,44.962,0.062697389
266,MET,METOESTE,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,IIII (284),0,2,33.45,7.725,0.025226,2.19,86.81519068,0.283495146,306.2316657,2.723,44.674,0.060952679
267,MET,METOESTE,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,IIII (284),0,3,32.7,7.312,0.022502,2.059,91.50297751,0.281591904,324.9488934,2.485,44.341,0.05604294
268,MET,METOESTE,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,IIII (284),0,6,37.85,3.37,0.018433,0.986,53.49102154,0.292581602,182.8242825,2.793,42.019,0.06646993
269,MET,METOESTE,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,IIII (284),0,7,40.7,4.303,0.024241,1.225,50.53421889,0.284685103,177.5091787,2.885,42.097,0.068532199
270,MET,METOESTE,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,IIII (284),0,8,39.55,3.738,0.022084,1.103,49.94566202,0.295077582,169.2628147,2.643,39.76,0.066473843
